Path,RoundFolder,Project,ProjectYear,Species,DirName,AuditFigName,BaseFigName,keep,BaseFigPath
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,NBOG2_Sept10_2013_audit_ae_HAPE_21Apr14,NBOG2_Sept10_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/NBOG2_Sept10_2013/NBOG2_Sept10_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea1_Aug13_2013_audit_HAPE_21Apr14,Pohakea1_Aug13_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea1_Aug13_2013_audit_ae_HAPE_21Apr14,Pohakea1_Aug13_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea1_Aug13_2013/Pohakea1_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea2_Aug13_2013_audit_HAPE_21Apr14,Pohakea2_Aug13_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013_audit_ae_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_r3_sep13,Pohakea2_Aug13_2013_audit_ae_HAPE_21Apr14,Pohakea2_Aug13_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_r3_sep13/Pohakea2_Aug13_2013/Pohakea2_Aug13_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_round5/Pohakea3_Jan3/Pohakea3_Jan3_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_round5,Pohakea3_Jan3_audit_HAPE_21Apr14,Pohakea3_Jan3,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_round5/Pohakea3_Jan3/Pohakea3_Jan3.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_round5/Pohakea3_Jan3/Pohakea3_Jan3_audit_DS_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,HNP_round5,Pohakea3_Jan3_audit_DS_HAPE_21Apr14,Pohakea3_Jan3,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/HNP_round5/Pohakea3_Jan3/Pohakea3_Jan3.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/NBOG4_Oct15/NBOG4_Oct15_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,KESRP_HNP_Round_4_NOV25,NBOG4_Oct15_audit_HAPE_21Apr14,NBOG4_Oct15,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/NBOG4_Oct15/NBOG4_Oct15.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/NBOG4_Oct15/NBOG4_Oct15_audit_DS_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,KESRP_HNP_Round_4_NOV25,NBOG4_Oct15_audit_DS_HAPE_21Apr14,NBOG4_Oct15,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/NBOG4_Oct15/NBOG4_Oct15.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/Pohak2_2Oct_2013/Pohak2_2Oct_2013_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,KESRP_HNP_Round_4_NOV25,Pohak2_2Oct_2013_audit_HAPE_21Apr14,Pohak2_2Oct_2013,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/Pohak2_2Oct_2013/Pohak2_2Oct_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/Pohak2_2Oct_2013/Pohak2_2Oct_2013_audit_DS_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,KESRP_HNP_Round_4_NOV25,Pohak2_2Oct_2013_audit_DS_HAPE_21Apr14,Pohak2_2Oct_2013,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/KESRP_HNP_Round_4_NOV25/Pohak2_2Oct_2013/Pohak2_2Oct_2013.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP/ULP2_Jun2/ULP2_Jun2_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,ULP,ULP2_Jun2_audit_HAPE_21Apr14,ULP2_Jun2,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP/ULP2_Jun2/ULP2_Jun2.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP/ULP2_Jun2/ULP2_Jun2_audit_DS_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,ULP,ULP2_Jun2_audit_DS_HAPE_21Apr14,ULP2_Jun2,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP/ULP2_Jun2/ULP2_Jun2.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP_r2/ULP6_Jul12/ULP6_Jul12_audit_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,ULP_r2,ULP6_Jul12_audit_HAPE_21Apr14,ULP6_Jul12,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP_r2/ULP6_Jul12/ULP6_Jul12.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP_r2/ULP6_Jul12/ULP6_Jul12_audit_DS_HAPE_21Apr14.csv,KESRP_ULPHONO_2013,KESRP_ULPHONO_2013,2013,HAPE,ULP_r2,ULP6_Jul12_audit_DS_HAPE_21Apr14,ULP6_Jul12,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2013/ULP_r2/ULP6_Jul12/ULP6_Jul12.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14_audit_HAPE_Pihea2_30May14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea3_29May14,Pihea3_29May14_audit_HAPE_Pihea2_30May14,Pihea3_29May14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14_audited95_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea3_29May14,Pihea3_29May14_audited95_HAPE_21Jun14,Pihea3_29May14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14_dnnClass_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea3_29May14,Pihea3_29May14_dnnClass_HAPE_21Jun14,Pihea3_29May14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14_audit_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea3_29May14,Pihea3_29May14_audit_HAPE_21Jun14,Pihea3_29May14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea3_29May14/Pihea3_29May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14_audited95_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea4_7May14,Pihea4_7May14_audited95_HAPE_21Jun14,Pihea4_7May14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14_dnnClass_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea4_7May14,Pihea4_7May14_dnnClass_HAPE_21Jun14,Pihea4_7May14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14_audit_HAPE_Pihea2_30May14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,Pihea4_7May14,Pihea4_7May14_audit_HAPE_Pihea2_30May14,Pihea4_7May14,0,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/Pihea4_7May14/Pihea4_7May14.fig
//NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/ROVFW1_13June14/ROVFW1_13June14_audited95_HAPE_21Jun14.csv,KESRP_ULPHONO_2014_R4,KESRP_ULPHONO_2014,2014,HAPE,ROVFW1_13June14,ROVFW1_13June14_audited95_HAPE_21Jun14,ROVFW1_13June14,1,\\NAS1/NAS3_2Mar15/All_HAPE/mnt/NAS1_2Jun14/Figs/KESRP_ULPHONO_2014_R4/ROVFW1_13June14/ROVFW1_13June14.fig
